Time,Acceleration
6.25,0.00784
6.26,0.01085
6.27,0.01396
6.28,0.01294
6.29,0.0119
6.3,0.01305
6.31,0.01385
6.32,0.01471
6.33,0.01517
6.34,0.01463
6.35,0.01372
6.36,0.00561
6.37,-0.0028
6.38,-0.03137
6.39,-0.06056
6.4,-0.07978
6.41,-0.09957
6.42,-0.10066
6.43,-0.10167
6.44,-0.06673
6.45,-0.03124
6.46,0.02337
6.47,0.07835
6.48,0.13438
6.49,0.19114
6.5,0.24457
6.51,0.29826
6.52,0.32147
6.53,0.34527
6.54,0.35539
6.55,0.36652
6.56,0.33968
6.57,0.31351
6.58,0.24608
6.59,0.17916
6.6,0.11156
6.61,0.04446
6.62,-0.0051
6.63,-0.05464
6.64,-0.095
6.65,-0.13552
6.66,-0.16355
6.67,-0.19211
6.68,-0.22159
6.69,-0.25176
6.7,-0.26968
6.71,-0.28841
6.72,-0.28617
6.73,-0.28505
6.74,-0.2374
6.75,-0.19031
6.76,-0.13321
6.77,-0.0764
6.78,0.0287
6.79,0.1336
6.8,0.27515
6.81,0.41675
6.82,0.40462
6.83,0.3927
6.84,0.29755
6.85,0.20277
6.86,0.11697
6.87,0.03133
6.88,-0.0126
6.89,-0.05648
6.9,-0.06669
6.91,-0.07684
6.92,-0.06135
6.93,-0.04567
6.94,-0.00516
6.95,0.03567
6.96,0.07352
6.97,0.11181
6.98,0.12367
6.99,0.1363
7,0.13947
7.01,0.14349
7.02,0.12942
7.03,0.11596
7.04,0.0813
7.05,0.04706
7.06,0.01091
7.07,-0.02521
7.08,-0.03172
7.09,-0.0388
7.1,-0.0204
7.11,-0.00276
7.12,0.01541
7.13,0.03296
7.14,0.05452
7.15,0.07572
7.16,0.1069
7.17,0.13777
7.18,0.1415
7.19,0.14475
7.2,0.10843
7.21,0.07136
7.22,0.03419
7.23,-0.00425
7.24,-0.04474
7.25,-0.08701
7.26,-0.10033
7.27,-0.11501
7.28,-0.10419
7.29,-0.09445
7.3,-0.06594
7.31,-0.03791
7.32,0.02825
7.33,0.09452
7.34,0.17155
7.35,0.24954
7.36,0.29505
7.37,0.34234
